Name,CountryID,DisciplineID,Gender,Event,MedalID,AthleteID
AALERUD Katrine,1,1,Unknown,N/A,4,1
ABAD Nestor,2,2,Unknown,N/A,4,2
ABAGNALE Giovanni,3,3,Unknown,N/A,4,3
ABALDE Alberto,2,4,Unknown,N/A,4,4
ABALDE Tamara,2,4,Unknown,N/A,4,5
ABALO Luc,4,5,Unknown,N/A,4,6
ABAROA Cesar,5,3,Unknown,N/A,4,7
ABASS Abobakr,6,6,Unknown,N/A,4,8
ABBASALI Hamideh,7,7,Unknown,N/A,4,9
ABBASOV Islam,8,8,Unknown,N/A,4,10
ABBINGH Lois,9,5,Unknown,N/A,4,11
ABBOT Emily,10,9,Unknown,N/A,4,12
ABBOTT Monica,11,10,Unknown,N/A,4,13
ABDALLA Abubaker Haydar,12,11,Unknown,N/A,4,14
ABDALLA Maryam,13,12,Unknown,N/A,4,15
ABDALLAH Shahd,13,12,Unknown,N/A,4,16
ABDALRASOOL Mohamed,6,13,Unknown,N/A,4,17
ABDEL LATIF Radwa,13,14,Unknown,N/A,4,18
ABDEL RAZEK Samy,13,14,Unknown,N/A,4,19
ABDELAZIZ Abdalla,13,7,Unknown,N/A,4,20
ABDELAZIZ Farah,13,15,Unknown,N/A,4,21
ABDELAZIZ Feryal,13,7,Unknown,N/A,4,22
ABDELMAWGOUD Mohamed,13,13,Unknown,N/A,4,23
ABDELMOTTALEB Diaaeldin Kamal Gouda,13,8,Unknown,N/A,4,24
ABDELRAHMAN Ihab,13,11,Unknown,N/A,4,25
ABDELSALAM Mohamed,13,16,Unknown,N/A,4,26
ABDELSALAM Nour,13,17,Unknown,N/A,4,27
ABDELWAHED Ahmed,3,11,Unknown,N/A,4,28
ABDI Bashir,14,11,Unknown,N/A,4,29
ABDIRAHMAN Abdi,11,11,Unknown,N/A,4,30
ABDUL HADI Farah Ann,15,2,Unknown,N/A,4,31
ABDUL RAHMAN Kiria Tikanah,16,18,Unknown,N/A,4,32
ABDUL RAZZAQ Fathimath Nabaaha,17,19,Unknown,N/A,4,33
ABDULHAMID Saud,18,16,Unknown,N/A,4,34
ABDULJABBAR Ammar Riad,19,20,Unknown,N/A,4,35
ABDULLAEV Gulomjon,20,8,Unknown,N/A,4,36
ABDULLAEV Muminjon,20,8,Unknown,N/A,4,37
ABDULLAH Rahmat Erwin,21,21,Unknown,N/A,4,38
ABDULLIN Ilfat,22,22,Unknown,N/A,4,39
ABDULREDHA Mohamed,23,5,Unknown,N/A,4,40
ABDURAIMOV Elnur,20,20,Unknown,N/A,4,41
ABDURAKHIMOV Rasuljon,20,2,Unknown,N/A,4,42
ABDURAKHMONOV Bekzod,20,8,Unknown,N/A,4,43
ABE Hifumi,24,13,Unknown,N/A,4,44
ABE Takatoshi,24,11,Unknown,N/A,4,45
ABE Uta,24,13,Unknown,N/A,4,46
ABEBE Mekides,25,11,Unknown,N/A,4,47
ABEDINI Mojtaba,7,18,Unknown,N/A,4,48
ABEL Jennifer,26,23,Unknown,N/A,4,49
ABELA Matthew,27,19,Unknown,N/A,4,50
ABELVIK ROED Magnus,1,5,Unknown,N/A,4,51
ABEYSINGHE Matthew,28,6,Unknown,N/A,4,52
ABIAN Pablo,2,19,Unknown,N/A,4,53
ABICHA Mohammed,29,24,Unknown,N/A,4,54
ABICHT Lorena,30,25,Unknown,N/A,4,55
ABIDINE Abidine,31,11,Unknown,N/A,4,56
ABLIAZIN Denis,32,2,Unknown,N/A,4,57
ABOUD Hadel,33,11,Unknown,N/A,4,58
ABOUELKASSEM Alaaeldin,13,18,Unknown,N/A,4,59
ABOUKE Nancy Genzel,34,21,Unknown,N/A,4,60
ABRAHAM Tadesse,35,11,Unknown,N/A,4,61
ABRAHAMS Rusten John,36,26,Unknown,N/A,4,62
ABRAMS Aliyah,37,11,Unknown,N/A,4,63
ABRAMS Jasmine,37,11,Unknown,N/A,4,64
ABRAMYAN Benik,38,11,Unknown,N/A,4,65
ABREU Diogo,39,27,Unknown,N/A,4,66
ABRINES REDONDO Alejandro,2,4,Unknown,N/A,4,67
ABROSIMOV Kirill,32,28,Unknown,N/A,4,68
ABU RABEE Asma,40,14,Unknown,N/A,4,69
ABU RMILAH Wesam,41,13,Unknown,N/A,4,70
ABUAKU Joshua,19,11,Unknown,N/A,4,71
ABUJBARA Tala,12,3,Unknown,N/A,4,72
ACERENZA Domenico,3,6,Unknown,N/A,4,73
ACETI Vladimir,3,11,Unknown,N/A,4,74
ACHAB Jaouad,14,17,Unknown,N/A,4,75
ACHANTA Kamal,42,15,Unknown,N/A,4,76
ACHILLEOS Georgios,43,14,Unknown,N/A,4,77
ACHIUWA Precious,44,4,Unknown,N/A,4,78
ACHONWA Natalie,26,4,Unknown,N/A,4,79
ACHOURI Haikel,45,8,Unknown,N/A,4,80
ACKERMANN Simone,36,29,Unknown,N/A,4,81
ACOSTA Briseida,46,17,Unknown,N/A,4,82
ACOSTA FERNANDEZ Yasmani,5,8,Unknown,N/A,4,83
ACOSTA GIRALDO Valentina,47,22,Unknown,N/A,4,84
ACOSTA Marcelo,48,6,Unknown,N/A,4,85
ACUNA Yenny,5,16,Unknown,N/A,4,86
ADACHI Kazuya,24,30,Unknown,N/A,4,87
ADACHI Seiya,24,31,Unknown,N/A,4,88
ADAM Amal,13,22,Unknown,N/A,4,89
ADAM Constantin,49,3,Unknown,N/A,4,90
ADAMEK Klaudia,50,11,Unknown,N/A,4,91
ADAMKIEWICZ Patrycja,50,17,Unknown,N/A,4,92
ADAMS Liam,10,11,Unknown,N/A,4,93
ADAMS Paul,10,14,Unknown,N/A,4,94
ADAMS Taeyanna,51,6,Unknown,N/A,4,95
ADAMUS Bartlomiej Stejan,50,21,Unknown,N/A,4,96
ADAO de SA Mateus Daniel,52,11,Unknown,N/A,4,97
ADAR Yasemin,53,8,Unknown,N/A,4,98
ADEBAYO Edrice Femi,11,4,Unknown,N/A,4,99
ADEGOKE Enoch,44,11,Unknown,N/A,4,100
ADEKUOROYE Odunayo Folasade,44,8,Unknown,N/A,4,101
ADEL Ibrahim,13,16,Unknown,N/A,4,102
ADENIYI Aminat Oluwafunmilayo,44,8,Unknown,N/A,4,103
ADESOKAN Dorcas Ajoke,44,19,Unknown,N/A,4,104
ADILKHANOVA Alina,22,9,Unknown,N/A,4,105
ADLERTEG Jonna,54,2,Unknown,N/A,4,106
ADLINGTON Sarah,55,13,Unknown,N/A,4,107
ADO Pauline,4,32,Unknown,N/A,4,108
ADOLF Balazs,56,33,Unknown,N/A,4,109
ADOMAVICIUS Aurimas,57,3,Unknown,N/A,4,110
AEDO Yanara,5,16,Unknown,N/A,4,111
AERNOUDTS Violaine,4,3,Unknown,N/A,4,112
AFANADOR Brian,58,15,Unknown,N/A,4,113
AFONSO Paixao,59,25,Unknown,N/A,4,114
AFOUMBA Gilles Anthony,60,11,Unknown,N/A,4,115
AFREMOVA Natalia,32,34,Unknown,N/A,4,116
AFRIAT Charlotte,61,11,Unknown,N/A,4,117
AGADA Caleb,44,4,Unknown,N/A,4,118
AGAHOZO Alphonsine,62,6,Unknown,N/A,4,119
AGARD Terrence,9,11,Unknown,N/A,4,120
AGARIE Yuto,24,5,Unknown,N/A,4,121
AGATSUMA Haruka,24,10,Unknown,N/A,4,122
AGBEGNENOU Clarisse,4,13,Unknown,N/A,4,123
AGERO Eden,63,35,Unknown,N/A,4,124
AGGEFORS Mikael,54,5,Unknown,N/A,4,125
AGHAEIHAJIAGHA Soraya,7,19,Unknown,N/A,4,126
AGHAMIROVA Zohra,8,9,Unknown,N/A,4,127
AGHAMIRZAEIJENAGHRAD Ali,7,33,Unknown,N/A,4,128
AGHASYAN Levon,64,11,Unknown,N/A,4,129
AGHAYEV Rafael,8,7,Unknown,N/A,4,130
AGIOMOR Ekerekeme,44,8,Unknown,N/A,4,131
AGIURGIUCULESE Alexandra,3,9,Unknown,N/A,4,132
AGRALI Yavuz,53,11,Unknown,N/A,4,133
AGRUSTI Andrea,3,11,Unknown,N/A,4,134
AGUIAR Mayra,52,13,Unknown,N/A,4,135
AGUILAR Ali,11,10,Unknown,N/A,4,136
AGUILAR Andres,5,22,Unknown,N/A,4,137
AGUILAR Evelis Jazmin,47,11,Unknown,N/A,4,138
AGUINAGALDE AQUIZU Julen,2,5,Unknown,N/A,4,139
AGUIRRE Eduardo,46,16,Unknown,N/A,4,140
AGUIRRE Erick,46,16,Unknown,N/A,4,141
AGUIRRE Unai,2,31,Unknown,N/A,4,142
AGUNDEZ GARCIA Gabriela,46,23,Unknown,N/A,4,143
AH TONG Marion Faustino,65,20,Unknown,N/A,4,144
AHMAD Muhammad Isa,66,6,Unknown,N/A,4,145
AHMED Aiman,18,16,Unknown,N/A,4,146
AHMED ALI YUSUF Abdulla Essa,23,6,Unknown,N/A,4,147
AHMED Enas,13,8,Unknown,N/A,4,148
AHMED Junayna,67,6,Unknown,N/A,4,149
AHMED Mohamed,23,5,Unknown,N/A,4,150
AHMED Mohammed,26,11,Unknown,N/A,4,151
AHMED Samaa,13,33,Unknown,N/A,4,152
AHOUANWANOU Odile,68,11,Unknown,N/A,4,153
AHOURE Murielle,69,11,Unknown,N/A,4,154
AHSINGER Nicole,11,27,Unknown,N/A,4,155
AHYE Michelle-Lee,70,11,Unknown,N/A,4,156
AI Yanhan,71,6,Unknown,N/A,4,157
AICARDI Matteo,3,31,Unknown,N/A,4,158
AICOBOAE Vlad,49,3,Unknown,N/A,4,159
AIGNER Hannes,19,30,Unknown,N/A,4,160
AILINCAI Adriana,49,3,Unknown,N/A,4,161
AIMABLE Steven,72,6,Unknown,N/A,4,162
AINAGULOV Mirambek,22,8,Unknown,N/A,4,163
AIOANI Marian,49,16,Unknown,N/A,4,164
AISAH Windy Cantika,21,21,Unknown,N/A,4,165
