CoachName,CountryID,DisciplineID,CoachID
ABDELMAGID Wael,13,16,1
ABE Junya,24,36,2
ABE Katsuhiko,24,4,3
ADAMA Cherif,69,16,4
AGEBA Yuya,24,36,5
AIKMAN Siegfried Gottlieb,24,26,6
AL SAADI Kais,19,26,7
ALAMEDA Lonni,26,10,8
ALEKNO Vladimir,7,36,9
ALEKSEEV Alexey,32,5,10
ALLER CARBALLO Manuel Angel,2,4,11
ALSHEHRI Saad,18,16,12
ALY Kamal,13,16,13
AMAYA GAITAN Fabian,58,4,14
AMO AGUADO Pablo,2,16,15
ANDONOVSKI Vlatko,11,16,16
ANNAN Alyson,9,26,17
ARNAU CREUS Xavier,24,26,18
ARNOLD Graham,10,16,19
AXNER Tomas,54,5,20
BABER Gareth Colin,135,35,21
BACIU Horatiu,49,16,22
BANBULA Wojciech,50,36,23
BAO Zhuang,71,36,24
BARYLA Pawel,32,36,25
BASILIO Mel,26,10,26
BASSO Paola,55,12,27
BATCH Colin,10,26,28
BATISTA Fernando,84,16,29
BATISTA SANTIAGO Gerardo,58,4,30
BENCIC Filip,85,4,31
BERG Laura,11,10,32
BERGE Christian,1,5,33
BILLAVA SURESH Ankitha,42,26,34
BIRO Attila,56,31,35
BLECHER SIDOROVA Svetlana,96,12,36
BLENGINI Gianlorenzo,3,36,37
BOLTON Alice,44,4,38
BREIVIK Marit,1,5,39
BRODERICK William,52,35,40
BRONDELLO Sandy,10,4,41
BROWN Chris,11,35,42
BROWN Michael,44,4,43
BRUN Aristide,30,12,44
BUNTING Allan,112,35,45
BURLANDO Giovanna,3,12,46
BUSATO Sergio,32,36,47
BUSENKELL Axel,19,16,48
BYRNE Mick,26,35,49
CADENAS MONTANES Manuel,84,5,50
CALDAS Max,9,26,51
CAMPAGNA Alessandro,3,31,52
CARO Carlos,46,10,53
CASAREZ Mary Lucy,24,10,54
CASTRO Alex,5,16,55
CHAMBERS Cheryl,10,4,56
CHEPAK Anastasiya,13,12,57
CHERNETSKA Natalia,102,12,58
CHIARI Simona,107,12,59
CHOI Il Eon,111,10,60
CHUN Jooweon,111,4,61
CLARK STEPHEN Gregg,42,26,62
COLLET Vincent,4,4,63
COMMENS Adam,14,26,64
COURTEIX David,4,35,65
CRESPI JAUME Margalida,47,12,66
CRUZ Filipe,59,5,67
DAL ZOTTO Renan,52,36,68
DANCER Sean,92,26,69
DANCHENKO Tatiana,32,12,70
DAVY Jeremy,10,26,71
DAZA Fabian,5,16,72
de la FUENTE CASTILLO Luis,2,16,73
de MOURA Luizomar,63,36,74
de OLIVEIRA Marcus Ricardo,52,5,75
de VOS Robbert-Jan,9,26,76
DELANEY Mike,112,26,77
DEMCHENKO Zhanna,22,12,78
DIAZ FERNANDEZ Jenaro Manuel,2,4,79
DIAZ HENRIQUEZ Nestor,99,4,80
DIDENKO Natalia,2,12,81
DOBSON Howard,11,10,82
DORE Karine,26,12,83
DROBNJAK Dragisa,132,4,84
DUENAS de GALARZA Jorge,52,5,85
DURO Fernando,103,4,86
DYKSTRA Trisha,10,4,87
ECHEZURIA Manuel,103,4,88
EDDY Anthony,92,35,89
EITOKU Atsushi,24,12,90
ELAFANDI Nour,13,12,91
ELEK Gabor,56,5,92
ENGELLAND Chip,11,4,93
