CountryName,CountryID
Norway,1
Spain,2
Italy,3
France,4
Chile,5
Sudan,6
Islamic Republic of Iran,7
Azerbaijan,8
Netherlands,9
Australia,10
United States of America,11
Qatar,12
Egypt,13
Belgium,14
Malaysia,15
Singapore,16
Maldives,17
Saudi Arabia,18
Germany,19
Uzbekistan,20
Indonesia,21
Kazakhstan,22
Bahrain,23
Japan,24
Ethiopia,25
Canada,26
Malta,27
Sri Lanka,28
Morocco,29
Austria,30
Mauritania,31
ROC,32
Libya,33
Nauru,34
Switzerland,35
South Africa,36
Guyana,37
Georgia,38
Portugal,39
Jordan,40
Palestine,41
India,42
Cyprus,43
Nigeria,44
Tunisia,45
Mexico,46
Colombia,47
El Salvador,48
Romania,49
Poland,50
Federated States of Micronesia,51
Brazil,52
Turkey,53
Sweden,54
Great Britain,55
Hungary,56
Lithuania,57
Puerto Rico,58
Angola,59
Congo,60
Monaco,61
Rwanda,62
Kenya,63
Armenia,64
Samoa,65
Brunei Darussalam,66
Bangladesh,67
Benin,68
Côte d'Ivoire,69
Trinidad and Tobago,70
People's Republic of China,71
Senegal,72
Algeria,73
Tajikistan,74
Pakistan,75
Kyrgyzstan,76
Latvia,77
Oman,78
Kuwait,79
Iraq,80
Refugee Olympic Team,81
Yemen,82
Cuba,83
Argentina,84
Serbia,85
Ukraine,86
Niger,87
Djibouti,88
Somalia,89
Bulgaria,90
Bermuda,91
Ireland,92
Jamaica,93
Estonia,94
United Arab Emirates,95
Israel,96
Paraguay,97
Costa Rica,98
Dominican Republic,99
Honduras,100
Cape Verde,101
Greece,102
Venezuela,103
Uganda,104
Peru,105
Belarus,106
San Marino,107
Ghana,108
Ecuador,109
Botswana,110
Republic of Korea,111
New Zealand,112
Bahamas,113
Denmark,114
Philippines,115
Guam,116
Madagascar,117
Haiti,118
Czech Republic,119
Montenegro,120
Afghanistan,121
Uruguay,122
Panama,123
Finland,124
Cameroon,125
Syrian Arab Republic,126
Turkmenistan,127
"Hong Kong, China",128
Togo,129
Seychelles,130
Mongolia,131
Slovenia,132
Guinea,133
Slovakia,134
Fiji,135
Zambia,136
Nicaragua,137
Sierra Leone,138
Guatemala,139
Papua New Guinea,140
Gambia,141
Lebanon,142
Cook Islands,143
Barbados,144
Luxembourg,145
Republic of Moldova,146
Nepal,147
Croatia,148
Kiribati,149
North Macedonia,150
Malawi,151
Democratic Republic of the Congo,152
Lao People's Democratic Republic,153
Thailand,154
St Vincent and the Grenadines,155
Albania,156
Guinea-Bissau,157
Bolivia,158
Bosnia and Herzegovina,159
Chinese Taipei,160
Saint Lucia,161
Palau,162
Mauritius,163
Saint Kitts and Nevis,164
Cayman Islands,165
American Samoa,166
Belize,167
Vanuatu,168
"Virgin Islands, US",169
Sao Tome and Principe,170
Democratic Republic of Timor-Leste,171
Eritrea,172
Mali,173
Burkina Faso,174
Tonga,175
Namibia,176
Vietnam,177
Eswatini,178
Andorra,179
Aruba,180
Comoros,181
Equatorial Guinea,182
Liberia,183
Grenada,184
Solomon Islands,185
Marshall Islands,186
Burundi,187
United Republic of Tanzania,188
Gabon,189
Kosovo,190
Antigua and Barbuda,191
Mozambique,192
Iceland,193
South Sudan,194
Liechtenstein,195
Cambodia,196
Chad,197
Bhutan,198
Zimbabwe,199
Lesotho,200
Dominica,201
Tuvalu,202
"Virgin Islands, British",203
Central African Republic,204
Myanmar,205
Suriname,206
