DisciplineID,MaleCount,FemaleCount,TotalCount,EntryID
44,32,32,64,1
22,64,64,128,2
2,98,98,196,3
12,0,105,105,4
11,1072,969,2041,5
19,87,86,173,6
10,144,90,234,7
4,144,144,288,8
24,48,48,96,9
20,187,102,289,10
30,41,41,82,11
33,126,123,249,12
45,9,10,19,13
34,24,24,48,14
43,38,38,76,15
1,131,70,201,16
39,99,90,189,17
23,71,72,143,18
37,125,73,198,19
18,108,107,215,20
16,344,264,608,21
40,60,60,120,22
5,168,168,336,23
26,192,192,384,24
13,201,192,393,25
7,42,40,82,26
28,25,25,50,27
42,36,36,72,28
9,0,96,96,29
3,265,257,522,30
35,151,146,297,31
25,175,175,350,32
14,178,178,356,33
41,40,40,80,34
46,20,20,40,35
32,20,20,40,36
6,418,361,779,37
15,86,86,172,38
17,65,65,130,39
38,97,94,191,40
27,16,16,32,41
29,55,55,110,42
36,144,144,288,43
31,146,122,268,44
21,99,98,197,45
8,193,96,289,46
